dms_orig,dms_dest,wgt_dist
065,259,3142
065,261,2596
065,262,2356
065,269,2655
065,271,2082
065,279,2299
065,280,2109
065,291,1815
065,292,1965
065,299,1924
065,300,1454
065,311,1697
065,319,1632
065,321,546
065,329,346
065,331,3161
065,339,3167
065,341,3082
065,342,2913
065,350,1050
065,361,2979
065,362,2856
065,363,2961
065,364,2769
065,369,3100
065,371,2605
065,372,2603
065,373,2695
065,379,2687
065,380,1778
065,391,2355
065,392,2510
065,393,2436
065,394,2361
065,399,2457
065,401,1490
065,402,1609
065,409,1591
065,411,801
065,419,710
065,421,2882
065,422,2625
065,423,2874
065,429,2768
065,451,2655
065,452,2333
065,459,2607
065,460,1787
065,471,1976
065,472,2170
065,473,2346
065,479,2310
065,481,1634
065,482,1862
065,483,1772
065,484,1594
065,485,1063
065,486,1798
065,487,1752
065,488,1597
065,489,1638
065,491,814
065,499,823
065,500,3291
065,511,2764
065,512,3107
065,513,2764
065,519,2747
065,531,935
065,532,829
065,539,956
065,540,2618
065,551,2199
065,559,2268
065,560,1237
069,011,2710
069,012,2533
069,019,2603
069,020,2817
069,041,854
069,042,837
069,049,734
069,050,1972
069,061,360
069,062,287
069,063,488
069,064,253
069,065,241
069,069,149
069,081,1409
069,089,1409
069,091,3145
069,092,2923
069,099,2994
069,101,2781
069,109,3000
069,111,2804
069,121,2482
069,122,2597
069,123,2792
069,124,2991
069,129,2779
069,131,2820
069,132,2647
069,139,2788
069,151,2359
069,159,2360
069,160,1118
069,171,2362
069,172,2294
069,179,2402
069,181,2341
069,182,2500
069,183,2536
069,189,2483
069,190,2234
069,201,1883
069,202,1745
069,209,1815
069,211,2683
069,212,2555
069,219,2805
069,221,2197
069,222,1982
069,223,2251
069,229,2128
069,230,3209
069,241,2650
069,242,2648
069,249,2716
069,251,3067
069,259,2954
069,261,2704
069,262,2576
069,269,2711
069,271,2132
069,279,2335
069,280,2566
069,291,1894
069,292,2328
069,299,2411
069,300,1498
069,311,1741
069,319,1636
069,321,587
069,329,373
069,331,3256
069,339,3199
069,341,2880
069,342,2885
069,350,1178
069,361,3077
069,362,2921
069,363,2863
069,364,2936
069,369,2965
069,371,3031
069,372,3036
069,373,2588
069,379,2800
069,380,1818
069,391,2672
069,392,2761
069,393,2733
069,394,2680
069,399,2736
069,401,1779
069,402,1829
069,409,1819
069,411,862
069,419,576
069,421,2791
069,422,2859
069,423,2815
069,429,2795
069,441,3049
069,451,2660
069,452,2966
069,459,2637
069,460,1891
069,471,2318
069,472,2599
069,473,2745
069,479,2700
069,481,1801
069,482,2043
069,483,1842
069,484,1746
069,485,1114
069,486,1884
069,487,1834
069,488,1698
069,489,1720
069,491,887
069,499,879
069,500,3021
069,511,2635
069,512,2812
069,513,2761
069,519,2890
069,531,1083
069,532,874
069,539,1134
069,540,2788
069,551,2403
069,559,2442
069,560,1371
081,011,1398
081,012,1423
081,019,1499
081,020,3006
081,041,854
081,042,889
081,049,974
081,050,988
081,061,1023
081,062,1184
081,063,1095
081,064,1283
081,065,1184
081,069,1397
081,081,19
081,089,147
081,091,1987
081,092,1901
081,099,2001
081,101,1749
081,109,1767
081,111,1672
081,121,1787
081,122,2034
081,123,1862
081,124,1924
081,129,1974
081,131,1409
081,132,1696
081,139,1693
081,160,840
081,171,1042
081,172,908
081,179,1050
081,181,1117
081,182,1114
081,183,1221
081,189,1196
081,190,820
081,201,657
081,202,573
081,209,536
081,211,1204
081,212,1166
081,219,1256
081,221,1241
081,222,1189
081,223,1382
081,229,1213
081,230,2419
081,241,1750
081,242,1682
081,249,1720
081,251,2053
081,259,1959
081,261,1343
081,262,1201
081,269,1335
081,271,974
081,279,1064
081,280,1315
081,291,690
081,292,871
081,299,920
081,300,884
081,311,565
081,319,478
081,321,842
081,329,1069
081,331,2058
081,339,2069
081,341,1788
081,342,1795
081,350,502
